# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		3966		2395		1543
1		3776		4789		1597
2		3701		7182		1551
3		3632		9575		1621
4		3610		11964		1627
5		3547		14357		1574
6		3540		16750		1628
7		3501		19143		1630
8		3453		21536		1593
9		3412		23928		1645
10		3258		25598		1622
11		3244		27988		1671
12		3197		30381		1672
13		3190		32775		1655
14		3169		35169		1648
15		3169		37560		1663
16		3170		39953		1685
17		3164		42346		1650
18		3131		44741		1656
19		3131		47134		1668
20		3019		48610		1632
21		3053		51004		1681
22		3022		53399		1665
23		3006		55792		1666
24		2992		58184		1676
25		2959		60578		1654
26		2974		62972		1658
27		2963		65366		1659
28		2931		67756		1676
29		2933		70149		1666
30		2866		71468		1691
31		2901		73861		1704
32		2884		76251		1698
33		2875		78644		1697
34		2890		81037		1690
35		2853		83431		1687
36		2854		85825		1684
37		2857		88217		1698
38		2848		90607		1704
39		2870		93001		1711
40		2778		94237		1713
41		2828		96630		1701
42		2806		99020		1715
43		2781		101413		1706
44		2774		103806		1707
45		2757		106200		1697
46		2778		108594		1705
47		2777		110986		1690
48		2758		113378		1710
49		2772		115772		1697
50		2685		116951		1717
51		2734		119343		1699
52		2709		121734		1720
53		2710		124127		1722
54		2708		126521		1722
55		2699		128915		1714
56		2699		131302		1712
57		2712		133697		1716
58		2701		136089		1734
59		2714		138481		1726
60		2643		139621		1722
61		2665		142016		1734
62		2648		144410		1742
63		2661		146804		1728
64		2663		149199		1722
65		2648		151591		1716
66		2642		153984		1727
67		2647		156377		1722
68		2633		158771		1737
69		2639		161165		1729
70		2599		162248		1721
71		2619		164643		1723
72		2621		167036		1728
73		2604		169429		1736
74		2594		171821		1726
75		2589		174214		1728
76		2586		176608		1726
77		2603		179000		1734
78		2590		181394		1729
79		2602		183789		1729
80		2548		184836		1715
81		2563		187230		1731
82		2560		189624		1724
83		2548		192018		1743
84		2556		194412		1730
85		2547		196806		1736
86		2545		199201		1728
87		2557		201593		1737
88		2548		203988		1730
89		2557		206383		1737
90		2531		207401		1742
91		2549		209794		1749
92		2552		212188		1745
93		2542		214582		1748
94		2533		216974		1742
95		2538		219368		1746
96		2530		221762		1733
97		2548		224156		1747
98		2520		226550		1739
99		2538		228945		1752
100		2502		229931		1742
101		2531		232324		1754
102		2515		234717		1749
103		2519		237112		1754
104		2522		239506		1749
105		2515		241901		1751
106		2513		244296		1742
107		2525		246691		1747
108		2503		249086		1745
109		2527		251481		1742
110		2490		252441		1727
111		2515		254832		1740
112		2499		257226		1752
113		2518		259620		1741
114		2495		262014		1752
115		2510		264405		1751
116		2497		266797		1744
117		2509		269190		1750
118		2491		271585		1747
119		2512		273980		1748
120		2464		274927		1727
121		2501		277319		1744
122		2477		279710		1745
123		2492		282102		1760
124		2474		284495		1744
125		2492		286886		1749
126		2472		289278		1745
127		2481		291673		1751
128		2471		294068		1742
129		2486		296463		1754
130		2455		297383		1747
131		2492		299777		1760
132		2458		302169		1745
133		2474		304562		1767
134		2461		306953		1756
135		2464		309348		1764
136		2459		311741		1756
137		2478		314132		1757
138		2467		316525		1748
139		2479		318918		1759
140		2449		319821		1756
141		2471		322215		1764
142		2458		324610		1747
143		2470		327003		1755
144		2467		329396		1760
145		2471		331790		1761
146		2457		334183		1760
147		2466		336576		1764
148		2456		338965		1749
149		2471		341360		1757
150		2452		342270		1750
151		2473		344663		1761
152		2458		347057		1746
153		2475		349451		1754
154		2470		351845		1752
155		2466		354236		1756
156		2462		356631		1743
157		2468		359024		1753
158		2457		361418		1743
159		2477		363810		1753
160		2448		364732		1745
161		2489		367126		1757
162		2464		369520		1746
163		2480		371914		1754
164		2468		374307		1744
165		2478		376702		1752
166		2480		379093		1745
167		2482		381486		1753
168		2467		383879		1751
169		2480		386268		1762
170		2446		387180		1745
171		2477		389574		1755
172		2456		391967		1750
173		2465		394362		1749
174		2456		396754		1740
175		2465		399145		1750
176		2448		401538		1737
177		2455		403931		1748
178		2444		406324		1739
179		2463		408718		1744
180		2424		409607		1740
181		2458		412001		1744
182		2444		414396		1737
183		2444		416789		1752
184		2442		419182		1735
185		2446		421576		1738
186		2443		423970		1731
187		2451		426365		1742
188		2438		428760		1738
189		2442		431155		1744
190		2425		432024		1735
191		2447		434418		1742
192		2432		436812		1735
193		2447		439206		1741
194		2440		441601		1726
195		2446		443995		1741
196		2443		446388		1730
197		2447		448783		1738
198		2437		451178		1743
199		2447		453573		1736
200		2423		454450		1732
201		2436		456841		1745
202		2431		459233		1736
203		2441		461625		1743
204		2425		464019		1743
205		2439		466413		1745
206		2429		468807		1740
207		2437		471202		1743
208		2431		473596		1741
209		2437		475990		1739
210		2419		476863		1734
211		2441		479257		1740
212		2428		481651		1741
213		2436		484044		1740
214		2428		486437		1737
215		2442		488831		1738
216		2435		491226		1733
217		2442		493619		1738
218		2432		496013		1733
219		2441		498408		1732
220		2419		499285		1735
221		2442		501678		1741
222		2426		504072		1737
223		2435		506465		1741
224		2433		508860		1733
225		2439		511252		1740
226		2430		513646		1738
227		2435		516040		1738
228		2423		518433		1740
229		2439		520827		1741
230		2414		521709		1732
231		2430		524103		1734
232		2420		526498		1738
233		2428		528891		1740
234		2416		531286		1739
235		2425		533681		1738
236		2412		536075		1736
237		2424		538466		1741
238		2411		540859		1739
239		2418		543252		1749
240		2403		544112		1743
241		2412		546505		1747
242		2404		548899		1744
243		2416		551291		1745
244		2402		553685		1739
245		2417		556079		1746
246		2403		558473		1738
247		2414		560866		1741
248		2398		563261		1745
249		2408		565651		1749
